# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
cleavage assay evidence used in manual assertion	ECO:0007691	A type of cleavage assay evidence that is used in a manual assertion.	
deacetylation assay evidence used in manual assertion	ECO:0007692	A type of deacetylation assay evidence that is used in a manual assertion.	
transcription assay evidence used in manual assertion	ECO:0007693	A type of transcription assay evidence that is used in a manual assertion.	
phosphatase assay evidence used in manual assertion	ECO:0007694	A type of phosphatase assay evidence that is used in a manual assertion.	
cell-based assay evidence used in manual assertion	ECO:0007695	A type of cell-based assay evidence that is used in a manual assertion.	
cell proliferation assay evidence used in manual assertion	ECO:0007696	A type of cell proliferation assay evidence that is used in a manual assertion.	
DNA synthesis cell proliferation assay evidence used in manual assertion	ECO:0007697	A type of DNA synthesis cell proliferation assay evidence that is used in a manual assertion.	
apoptotic assay evidence used in manual assertion	ECO:0007698	A type of apoptotic assay evidence that is used in a manual assertion.	
cell growth assay evidence used in manual assertion	ECO:0007699	A type of cell growth assay evidence that is used in a manual assertion.	
disk diffusion test evidence used in manual assertion	ECO:0007700	A type of disk diffusion test evidence that is used in a manual assertion.	
chemotaxis assay evidence used in manual assertion	ECO:0007701	A type of chemotaxis assay evidence that is used in a manual assertion.	
cytotoxicity assay evidence used in manual assertion	ECO:0007702	A type of cytotoxicity assay evidence that is used in a manual assertion.	
cell viability assay evidence used in manual assertion	ECO:0007703	A type of cell viability assay evidence that is used in a manual assertion.	
methylation assay evidence used in manual assertion	ECO:0007704	A type of methylation assay evidence that is used in a manual assertion.	
protein assay evidence used in manual assertion	ECO:0007705	A type of protein assay evidence that is used in a manual assertion.	
chromatin immunoprecipitation evidence used in manual assertion	ECO:0007706	A type of chromatin immunoprecipitation evidence that is used in a manual assertion.	
protein inhibition evidence used in manual assertion	ECO:0007707	A type of protein inhibition evidence that is used in a manual assertion.	
sumoylation assay evidence used in manual assertion	ECO:0007708	A type of sumoylation assay evidence that is used in a manual assertion.	
transport assay evidence used in manual assertion	ECO:0007709	A type of transport assay evidence that is used in a manual assertion.	
defarnesylation assay evidence used in manual assertion	ECO:0007710	A type of defarnesylation assay evidence that is used in a manual assertion.	
deubiquitination assay evidence used in manual assertion	ECO:0007711	A type of deubiquitination assay evidence that is used in a manual assertion.	
palmitoylation assay evidence used in manual assertion	ECO:0007712	A type of palmitoylation assay evidence that is used in a manual assertion.	
acetylation assay evidence used in manual assertion	ECO:0007713	A type of acetylation assay evidence that is used in a manual assertion.	
demethylation assay evidence used in manual assertion	ECO:0007714	A type of demethylation assay evidence that is used in a manual assertion.	
polyADP-ribosylation assay evidence used in manual assertion	ECO:0007715	A type of polyADP-ribosylation assay evidence that is used in a manual assertion.	
staining evidence used in manual assertion	ECO:0007716	A type of staining evidence that is used in a manual assertion.	
translation assay evidence used in manual assertion	ECO:0007717	A type of translation assay evidence that is used in a manual assertion.	
ubiquitination assay evidence used in manual assertion	ECO:0007718	A type of ubiquitination assay evidence that is used in a manual assertion.	
immunodetection assay evidence used in manual assertion	ECO:0007719	A type of immunodetection assay evidence that is used in a manual assertion.	
desumoylation assay evidence used in manual assertion	ECO:0007720	A type of desumoylation assay evidence that is used in a manual assertion.	
farnesylation assay evidence used in manual assertion	ECO:0007721	A type of farnesylation assay evidence that is used in a manual assertion.	
reconstitution assay evidence used in manual assertion	ECO:0007722	A type of reconstitution assay evidence that is used in a manual assertion.	
in vitro transcription reconstitution assay evidence used in manual assertion	ECO:0007723	A type of in vitro transcription reconstitution assay evidence that is used in a manual assertion.	
localization evidence used in manual assertion	ECO:0007724	A type of localization evidence that is used in a manual assertion.	
